well_number,well_position,cycle_number,POOL_T80K_1,POOL_T80K_2,POOL_T80K_3,POOL_T80K_4,POOL_T80K_5,POOL_T80K_6,POOL_T80K_7,POOL_T80K_8,POOL_T80K_9,POOL_T80K_10,POOL_WT_1,Non-targeting,Untransduced_WT,Untransduced_T80K
79,G7,5,202821.14,217041.7,210177.12,208767.78,205693.45,199894.55,220171.98,193547.77,205133.45,199322,206356.23,262127.98,263090.44,#N/A
80,G8,5,217352.9,240038.4,232541.88,227303.67,228030.52,219127.66,224443.94,214964.1,219803.58,216855.53,292524.9,252298.69,285069.8,#N/A
81,G9,5,216136.17,231006.53,219002.27,221732.36,222235.61,217583.11,223280.45,211191.84,212432.06,205236.1,240110.75,227700.16,270521.6,#N/A
82,G10,5,221942.84,234891.81,230505.6,230085.89,230521.95,219312.17,224819.72,210827.14,216014.7,205255.81,248086.27,250732.03,258655.8,#N/A
83,G11,5,215950.11,231211.38,226230.05,219276.4,224730.83,211995.14,220003.39,207321.55,205627.31,203823.08,275138.9,261028.42,291973.94,#N/A
84,G12,5,226793.73,240709.66,234282.31,221899.9,223188.02,230776.81,231129.16,213949.78,219650.19,217700.9,273709.3,259876.77,283877.28,#N/A
85,H1,5,304876.2,322108.66,320544.38,326196.88,330603.7,313242.62,321063.2,295306.6,302588.6,277442.88,331188.56,382147.03,339804.3,296271.06
86,H2,5,271402.8,290279.72,293159.6,282979.88,291205,279161.34,286807.38,259393.34,270321.38,255226.73,295438.88,329939.62,320188.38,258284.33
87,H3,5,266601.62,277684.12,273753.28,273668.9,272303.8,276950.97,274365.72,265123.47,262945.38,252212.73,291358.44,329061.6,338487.4,256190.06
88,H4,5,249652.1,263029.03,259235.36,255363.8,255808.81,272193.6,256949.6,250286.62,287852.38,247272.8,307698.28,307277.06,349665.44,238758.05
89,H5,5,234968.16,245056.16,241145.64,244980.64,242437.39,240254.27,246982.23,225861.84,237560.48,231918.44,280997.88,278756.34,294392.1,227273.2
90,H6,5,243052.95,255788.6,249715.34,253818.5,248926.06,248288.9,289892.47,235048.61,248478.66,243582.48,292224.75,279876.12,277728.8,#N/A
91,H7,5,225361.95,240865.75,234310.4,233073.05,231056.72,231716.38,231894.83,216640.3,233413.69,226612.97,233956.36,341036.56,259322.03,#N/A
92,H8,5,244012.72,262489.22,255709.44,251821.16,249124.5,249951.45,250801.92,238441.23,245735.56,274200.78,241727.56,305900.56,324359.62,#N/A
93,H9,5,321876.53,243775.25,234440.36,235591.27,230629.48,232905.95,234143.42,221218.14,229535.8,218525.11,275841.25,297856.4,274023.44,#N/A
94,H10,5,246819.8,258243.27,253442.48,250734.33,247366.78,245562.14,247237.28,234993.56,240441.78,229794.98,263784.12,305195.72,292996.94,#N/A
95,H11,5,232900.81,253258.98,237095.7,236170.89,246171.53,259581.27,240269.3,226172.77,229093.61,219113.9,249194.28,253382.39,282372.2,#N/A
96,H12,5,222309.28,244159.02,235818.62,230441.5,243104.48,231568.72,231782.73,227407.7,225371.27,221584.3,242118.27,279836,272188.75,#N/A
1,A1,6,325938.6,345918.97,344342.97,338046.47,347059,399445.44,371552.03,313874.03,310738.12,281031.34,354217.8,413741.78,389172.5,#N/A
2,A2,6,300275.4,316660.62,316283.78,309424.06,328624.3,298707.03,309506.25,278664.16,294638.56,274783.28,337879.12,351016.5,316340.88,#N/A
3,A3,6,289541.4,318318.22,295153.66,297138.6,299642.03,296174.72,300021.2,270783.28,276568.5,263400.9,390023.66,419539,320509.97,#N/A
4,A4,6,278386.28,285537,283846.88,284009.8,286786.22,286932.22,287857.8,267165.28,266824.7,259111.86,351290.94,382834.84,357589.56,#N/A
5,A5,6,259550.19,270950.22,264562.75,264453.53,269423.53,274030.47,273256.94,256997.48,252766.27,252369.11,304152.34,312061.5,312274.2,#N/A
6,A6,6,222445.98,235362.11,230971.19,223242.4,232740.88,226798.2,234032.28,213402.42,219235.3,219243.77,344251.47,303429.3,234911.34,#N/A
7,A7,6,238830.98,249119.58,241875.45,240868.25,247691.39,241941.38,249771.39,235490.66,233591.39,239598.38,302830.06,353262.8,307593.28,#N/A
8,A8,6,254533.34,262827.3,259215.22,252698.36,257333.19,251903.55,256689.67,248073.72,245474.88,253957.88,343722.1,280395.75,336203.2,#N/A
9,A9,6,255842.78,265621.06,259208.88,259257.97,254411.86,256788.23,257366.38,246505.9,244926.12,245217.55,343903.75,299199.3,260904.48,#N/A
10,A10,6,259270.3,283468.1,263063.25,268960.53,267197,271851.8,263408.7,254780.45,249716,256396.16,325170.8,264586.25,359500.56,#N/A
11,A11,6,244492.27,261180.66,242425.02,246587.08,248328.92,249622.7,245620.98,240947.58,235753.34,239571.02,251364.3,326149.7,269022.38,#N/A
12,A12,6,230675.34,244793.31,246599.8,230438.61,231696.66,242796.98,231278.28,214784.75,225980.89,226527.94,240356.42,262950.1,338637.78,#N/A
13,B1,6,308770.44,328801.75,321854.88,331042.66,329193.72,319313.56,326078.7,292179.34,307553.12,286073,324579.44,352852.8,417010.94,#N/A
14,B2,6,265037.5,296245.7,285684.84,286039.25,275538.78,284511.75,280737.72,253397.22,253816.19,241933,276240.7,332314,279869,#N/A
15,B3,6,257915.48,273935.9,269445.2,264649.7,264232.97,263693,260870.42,245968.02,247066.36,254963.66,315602.34,348322.97,309143,#N/A
16,B4,6,246947.8,258105.5,251542.89,247324.44,252460.75,272395.34,297174.94,239973.4,239626.45,247621.97,331143.12,256912.88,256076.16,#N/A
17,B5,6,229262.34,245805.61,246176.81,234475.11,239244.45,241676.72,241375.88,224046.28,233937.42,237087.31,300605.78,264790.4,263297.78,#N/A
